Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit
45100,820.1648886205323,753.5130891540844
45200,821.570457883667,754.6059384766556
45300,822.5959474318539,755.2219002886967
45400,823.8139785021319,756.9004165956794
45500,825.2380218091388,758.3531423316473
45600,825.9900914130758,759.8281376782461
45700,826.9448665090297,760.6683029779446
45800,828.3928477688745,761.552134989231
45900,829.6792986498434,762.2976569453454
46000,831.5060056297646,763.4504532925
46100,833.0967670001152,764.8602380081127
46200,834.4759150464718,766.0207401782038
46300,836.0182689084617,766.7012868122189
46400,837.5754302080138,767.6892112753694
46500,838.4850441211265,768.9675059800915
46600,839.6462127036197,770.0723996005339
46700,840.8552977439092,770.864211519315
46800,842.3413971785242,772.4950113569782
46900,843.184610332778,773.003644000223
47000,844.387081766622,773.9135323010308
47100,845.3413327037522,775.0901882969576
47200,846.5743090813901,775.99077090742
47300,847.8611659236807,777.1648198256922
47400,848.9187136172106,778.2524219983602
47500,850.1072154372098,779.3429587886977
47600,851.3289270889294,780.4933046142705
47700,852.7934441112304,781.3497283189748
47800,853.9695366662845,782.1414533030213
47900,854.8181041401116,783.2694517393666
48000,856.2035656286425,784.0996829530957
48100,857.6083485697343,785.4521851775964
48200,858.6580941032911,786.6204752995257
