Time(Iteration),GeneralizedLinearBandit
97000,4556.31872569139
97100,4558.2595921114125
97200,4560.612884785185
97300,4562.671291093206
97400,4564.789594787986
97500,4566.98741958183
97600,4568.728423577559
97700,4570.2445239814915
97800,4572.223036297964
97900,4574.368557346465
98000,4576.557312649924
98100,4578.709630323993
98200,4580.784033683217
98300,4583.032074264944
98400,4584.895583842823
98500,4587.4795731413105
98600,4589.046678906658
98700,4590.99282338211
98800,4592.793408493433
98900,4594.652756394058
99000,4596.596680980636
99100,4598.447878494212
99200,4600.575133480652
99300,4602.464722434213
99400,4604.074652784563
99500,4605.9252188509445
99600,4608.14573910826
99700,4610.024037356056
99800,4611.50178957585
99900,4613.62063262498
100000,4615.97423701521
100100,4617.891576801384
100200,4619.902326032394
100300,4621.648636449466
100400,4622.921191824289
100500,4624.887662972804
100600,4626.73373566959
100700,4628.323073285595
100800,4630.0144176938575
100900,4632.35103591346
101000,4634.461363368066
101100,4636.684299588527
101200,4638.187528271076
101300,4639.613497030236
101400,4641.792608429694
101500,4643.65136229817
101600,4645.343561884323
101700,4647.641024838217
101800,4649.903098853653
101900,4651.747192876524
102000,4653.579568701655
102100,4655.660998046851
102200,4657.493876802936
102300,4659.341946797541
102400,4661.84051343825
102500,4663.105511812131
102600,4665.301739407309
102700,4667.154597216899
102800,4668.8930470647265
102900,4670.7590462297085
103000,4672.665873196411
103100,4674.730813013033
103200,4676.473117018211
103300,4678.128523955883
103400,4679.95791322852
103500,4681.890889939488
103600,4683.603962748804
103700,4685.482195849426
103800,4687.293453032744
103900,4688.959050170497
104000,4691.433830173408
104100,4693.49614084179
104200,4695.339158295306
104300,4696.935693813829
104400,4698.8538255689855
104500,4701.144839407831
104600,4702.570129653264
104700,4704.257956172716
104800,4705.896459409372
104900,4707.626589647079
105000,4709.811544019672
105100,4711.516754445503
105200,4713.853584853172
105300,4715.529879091065
105400,4717.320888448927
105500,4719.1898399256215
105600,4720.294830074282
105700,4721.49100639132
105800,4723.010430650933
105900,4724.9754375564235
106000,4727.2510472282565
106100,4729.400127746099
106200,4731.441484050234
106300,4733.313496609604
106400,4735.142633428063
106500,4736.884172492408
106600,4738.588801659215
106700,4740.179047863141
106800,4742.245642313406
106900,4743.990099038941
107000,4745.643085593244
107100,4747.340401523238
107200,4748.888667739187
107300,4751.010171701932
107400,4752.788742300141
107500,4754.531992750016
107600,4755.932450791159
107700,4757.923052106418
107800,4759.699654680708
107900,4762.373131386962
108000,4764.110610702477
108100,4765.994440311097
108200,4768.274705643593
108300,4770.0199143327945
108400,4771.306200909233
108500,4772.65825296938
108600,4774.1975759433735
108700,4776.097008468251
108800,4777.38082259965
108900,4778.982588464882
109000,4780.773720748326
109100,4782.521759724927
109200,4784.311690621656
109300,4786.1100845274395
109400,4787.656849462561
109500,4790.107542237195
109600,4792.104556222514
109700,4793.64563846681
